,Question_codes,Questions
0,"['currentEmp13[1]_0', 'currentEmp13[SQ001]_0']","[' In which disciplines do you work (select as many as apply) [Accounting & Finance]', ' In which disciplines do you work (select as many as apply)? [Accounting & Finance]']"
1,"['fund2[SQ006]_0', 'fund2[9]_1', 'fund2[6]_2']","[' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Advertising & sponsorships]', ' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Advertising & sponsorships]', ' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Advertising & sponsorships]']"
2,"['fund3[SQ006]_0', 'fund3[9]_1', 'fund3[6]_2']","[' Which of the following sources are used to fund your current, largest project? [Advertising & sponsorships]', ' Which of the following sources are used to fund your current, largest project? [Advertising & sponsorships]', ' Which of the following sources are used to fund your current, largest project? [Advertising & sponsorships]']"
3,"['fund4[SQ006]_0', 'fund4[9]_1', 'fund4[6]_2']","[' Which of the following sources were used to fund your current, largest project three years ago? [Advertising & sponsorships]', ' Which of the following sources were used to fund your current, largest project three years ago? [Advertising & sponsorships]', ' Which of the following sources were used to fund your current, largest project three years ago? [Advertising & sponsorships]']"
4,"['currentEmp13[2]_0', 'currentEmp13[SQ002]_0']","[' In which disciplines do you work (select as many as apply) [Aeronautical & Manufacturing Engineering]', ' In which disciplines do you work (select as many as apply)? [Aeronautical & Manufacturing Engineering]']"
5,"['currentEmp13[3]_0', 'currentEmp13[SQ003]_0', 'currentEmp13[4]_1']","[' In which disciplines do you work (select as many as apply) [Agriculture & Forestry]', ' In which disciplines do you work (select as many as apply)? [Agriculture & Forestry]', ' In which disciplines do you work (select as many as apply) [Agriculture & Forestry]']"
6,"['currentEmp13[4]_0', 'currentEmp13[SQ004]_0', 'currentEmp13[5]_1']","[' In which disciplines do you work (select as many as apply) [American Studies]', ' In which disciplines do you work (select as many as apply)? [American Studies]', ' In which disciplines do you work (select as many as apply) [American Studies]']"
7,"['currentEmp13[5]_0', 'currentEmp13[SQ005]_0', 'currentEmp13[6]_1']","[' In which disciplines do you work (select as many as apply) [Anatomy & Physiology]', ' In which disciplines do you work (select as many as apply)? [Anatomy & Physiology]', ' In which disciplines do you work (select as many as apply) [Anatomy & Physiology]']"
8,"['currentEmp13[6]_0', 'currentEmp13[SQ006]_0', 'currentEmp13[7]_1']","[' In which disciplines do you work (select as many as apply) [Anthropology]', ' In which disciplines do you work (select as many as apply)? [Anthropology]', ' In which disciplines do you work (select as many as apply) [Anthropology]']"
9,"['currentEmp13[7]_0', 'currentEmp13[SQ007]_0', 'currentEmp13[8]_1']","[' In which disciplines do you work (select as many as apply) [Architecture]', ' In which disciplines do you work (select as many as apply)? [Architecture]', ' In which disciplines do you work (select as many as apply) [Architecture]']"
10,"['currentEmp13[8]_0', 'currentEmp13[SQ008]_0', 'currentEmp13[9]_1']","[' In which disciplines do you work (select as many as apply) [Art & Design]', ' In which disciplines do you work (select as many as apply)? [Art & Design]', ' In which disciplines do you work (select as many as apply) [Art & Design]']"
11,"['tool4can[1]_0', 'tool4can[SQ001]_0', 'tool4can[30]_1']","[' What programming languages do you use at work? (Select as many as apply) [Assembly]', ' What programming languages do you use at work? (Select as many as apply) [Assembly]', ' What programming languages do you use at work? (Select as many as apply) [Assembly]']"
12,['fund2[6]_0'],[' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Associations and chambers]']
13,['fund3[6]_0'],"[' Which of the following sources are used to fund your current, largest project? [Associations and chambers]']"
14,['fund4[6]_0'],"[' Which of the following sources were used to fund your current, largest project three years ago? [Associations and chambers]']"
15,"['currentEmp13[9]_0', 'currentEmp13[SQ009]_0', 'currentEmp13[10]_1']","[' In which disciplines do you work (select as many as apply) [Biological Sciences]', ' In which disciplines do you work (select as many as apply)? [Biological Sciences]', ' In which disciplines do you work (select as many as apply) [Biological Sciences]']"
16,"['fund2[SQ005]_0', 'fund2[8]_1', 'fund2[5]_2']","[' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Books & merchandise]', ' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Books & merchandise]', ' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Books & merchandise]']"
17,"['fund3[SQ005]_0', 'fund3[8]_1', 'fund3[5]_2']","[' Which of the following sources are used to fund your current, largest project? [Books & merchandise]', ' Which of the following sources are used to fund your current, largest project? [Books & merchandise]', ' Which of the following sources are used to fund your current, largest project? [Books & merchandise]']"
18,"['fund4[SQ005]_0', 'fund4[8]_1', 'fund4[5]_2']","[' Which of the following sources were used to fund your current, largest project three years ago? [Books & merchandise]', ' Which of the following sources were used to fund your current, largest project three years ago? [Books & merchandise]', ' Which of the following sources were used to fund your current, largest project three years ago? [Books & merchandise]']"
19,"['currentEmp13[10]_0', 'currentEmp13[SQ010]_0', 'currentEmp13[11]_1']","[' In which disciplines do you work (select as many as apply) [Business & Management Studies]', ' In which disciplines do you work (select as many as apply)? [Business & Management Studies]', ' In which disciplines do you work (select as many as apply) [Business & Management Studies]']"
20,"['tool4can[2]_0', 'tool4can[SQ002]_0', 'tool4can[5]_1']","[' What programming languages do you use at work? (Select as many as apply) [C]', ' What programming languages do you use at work? (Select as many as apply) [C]', ' What programming languages do you use at work? (Select as many as apply) [C]']"
21,"['tool4can[3]_0', 'tool4can[SQ003]_0', 'tool4can[18]_1']","[' What programming languages do you use at work? (Select as many as apply) [C#]', ' What programming languages do you use at work? (Select as many as apply) [C#]', ' What programming languages do you use at work? (Select as many as apply) [C#]']"
22,"['tool4can[4]_0', 'tool4can[SQ004]_0', 'tool4can[16]_1']","[' What programming languages do you use at work? (Select as many as apply) [C++]', ' What programming languages do you use at work? (Select as many as apply) [C++]', ' What programming languages do you use at work? (Select as many as apply) [C++]']"
23,"['currentEmp13[11]_0', 'currentEmp13[SQ011]_0', 'currentEmp13[12]_1']","[' In which disciplines do you work (select as many as apply) [Chemical Engineering]', ' In which disciplines do you work (select as many as apply)? [Chemical Engineering]', ' In which disciplines do you work (select as many as apply) [Chemical Engineering]']"
24,"['currentEmp13[12]_0', 'currentEmp13[SQ012]_0', 'currentEmp13[13]_1']","[' In which disciplines do you work (select as many as apply) [Chemistry]', ' In which disciplines do you work (select as many as apply)? [Chemistry]', ' In which disciplines do you work (select as many as apply) [Chemistry]']"
25,"['currentEmp13[13]_0', 'currentEmp13[SQ013]_0', 'currentEmp13[14]_1']","[' In which disciplines do you work (select as many as apply) [Civil Engineering]', ' In which disciplines do you work (select as many as apply)? [Civil Engineering]', ' In which disciplines do you work (select as many as apply) [Civil Engineering]']"
26,"['currentEmp13[14]_0', 'currentEmp13[SQ014]_0', 'currentEmp13[15]_1']","[' In which disciplines do you work (select as many as apply) [Classics & Ancient History]', ' In which disciplines do you work (select as many as apply)? [Classics & Ancient History]', ' In which disciplines do you work (select as many as apply) [Classics & Ancient History]']"
27,"['tool4can[5]_0', 'tool4can[SQ005]_0', 'tool4can[35]_1']","[' What programming languages do you use at work? (Select as many as apply) [Clojure]', ' What programming languages do you use at work? (Select as many as apply) [Clojure]', ' What programming languages do you use at work? (Select as many as apply) [Clojure]']"
28,"['tool4can[6]_0', 'tool4can[SQ006]_0', 'tool4can[9]_1']","[' What programming languages do you use at work? (Select as many as apply) [CoffeeScript]', ' What programming languages do you use at work? (Select as many as apply) [CoffeeScript]', ' What programming languages do you use at work? (Select as many as apply) [CoffeeScript]']"
29,"['tool4can[7]_0', 'tool4can[SQ007]_0', 'tool4can[6]_1']","[' What programming languages do you use at work? (Select as many as apply) [Common Lisp]', ' What programming languages do you use at work? (Select as many as apply) [Common Lisp]', ' What programming languages do you use at work? (Select as many as apply) [Common Lisp]']"
30,"['currentEmp13[15]_0', 'currentEmp13[SQ015]_0', 'currentEmp13[16]_1']","[' In which disciplines do you work (select as many as apply) [Communication & Media Studies]', ' In which disciplines do you work (select as many as apply)? [Communication & Media Studies]', ' In which disciplines do you work (select as many as apply) [Communication & Media Studies]']"
31,"['currentEmp13[16]_0', 'currentEmp13[SQ016]_0', 'currentEmp13[17]_1']","[' In which disciplines do you work (select as many as apply) [Complementary Medicine]', ' In which disciplines do you work (select as many as apply)? [Complementary Medicine]', ' In which disciplines do you work (select as many as apply) [Complementary Medicine]']"
32,"['currentEmp13[17]_0', 'currentEmp13[SQ017]_0', 'currentEmp13[18]_1']","[' In which disciplines do you work (select as many as apply) [Computer Science]', ' In which disciplines do you work (select as many as apply)? [Computer Science]', ' In which disciplines do you work (select as many as apply) [Computer Science]']"
33,"['fund2[11]_0', 'fund2[SQ008]_0', 'fund2[8]_2']","[' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Consulting & services]', ' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Consulting & services]', ' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Consulting & services]']"
34,"['fund3[11]_0', 'fund3[SQ008]_0', 'fund3[8]_2']","[' Which of the following sources are used to fund your current, largest project? [Consulting & services]', ' Which of the following sources are used to fund your current, largest project? [Consulting & services]', ' Which of the following sources are used to fund your current, largest project? [Consulting & services]']"
35,"['fund4[11]_0', 'fund4[SQ008]_0', 'fund4[8]_2']","[' Which of the following sources were used to fund your current, largest project three years ago? [Consulting & services]', ' Which of the following sources were used to fund your current, largest project three years ago? [Consulting & services]', ' Which of the following sources were used to fund your current, largest project three years ago? [Consulting & services]']"
36,"['currentEmp13[18]_0', 'currentEmp13[SQ018]_0', 'currentEmp13[19]_1']","[' In which disciplines do you work (select as many as apply) [Counselling]', ' In which disciplines do you work (select as many as apply)? [Counselling]', ' In which disciplines do you work (select as many as apply) [Counselling]']"
